phrase1,phrase2,sentence1,sentence2,label,idx
hit,hit,he hit a home run .,the movie hits theaters in december .,0,2463
streak,streak,i hope i can keep up this streak of accomplishments .,"i was on a winning streak until the fourth game , where i was dealt terrible cards .",1,2464
opening,opening,there was a small opening between the trees .,the opening established the basic theme .,0,2465
finish,finish,the car 's finish was so shiny and new .,the boat had a metallic finish .,1,2466
approach,approach,to approach the city .,"he was an admirable poet , and thought even to have approached homer . -- sir william temple .",1,2467
circus,circus,they used the elephants to help put up the circus .,the circus will be in town next week .,0,2468
make,make,this invention will make you a millionaire .,he made a fool of himself at the meeting .,1,2469
hit,hit,i have to hit the mac machine before the weekend starts .,jones hit for the pitcher .,1,2470
slip,slip,"she could n't hurt a fly , young slip of a girl that she is .",he blamed his slip on the ice .,0,2471
hang,hang,hang a door .,the cloud of suspicion hangs over her .,0,2472
ring,ring,the distinctive ring of the church bell .,"the tintinnabulation that so voluminously swells from the ringing and the dinging of the bells ""-- e. a. poe .",1,2473
be,be,when will the meeting be ?,we liked to chat while we were eating .,1,2474
conflict,conflict,the conflict between the government and the rebels began three years ago .,a conflict of loyalties .,0,2475
brush,brush,brush away the crumbs .,she brushed the suit before hanging it back into the closet .,0,2476
stay,stay,we stayed in hawaii for a week .,the smell stayed in the room .,0,2477
get,get,we 'll get them !,"get me those books over there , please .",0,2478
point,point,he checked the point on his compass .,a row of points .,0,2479
bankruptcy,bankruptcy,intellectual bankruptcy .,spiritual bankruptcy .,1,2480
fatigue,fatigue,political fatigue .,the american public is experiencing scandal fatigue .,1,2481
block,block,block a muscle .,block trains .,0,2482
be,be,i shall be writing to you soon .,"the postman has been today , but my tickets have still not yet come .",1,2483
process,process,process iron .,process the applicants .,0,2484
fall,fall,fall into a category .,silly phrases fell from her mouth .,0,2485
song,song,thomas listened to his favorite song on the radio yesterday .,a successful musical must have at least three good songs .,1,2486
term,term,mid term goals .,a prison term .,1,2487
drop,drop,he had a drop too much to drink .,a drop of 57 points on the dow jones index .,0,2488
stock,stock,they will cut round stock to 1-inch diameter .,his stock was so high he could have been elected mayor .,0,2489
unit,unit,the team is a unit .,a unit of wheat is a bushel .,0,2490
remember,remember,i ca n't remember saying any such thing .,"i remember the concert clearly , but i ca n't recollect why i was there .",1,2491
respect,respect,she lost all respect for him .,be sure to give my respects to the dean .,0,2492
grain,grain,sand of a fine grain .,a stone of coarse grain .,1,2493
flap,flap,he wrote on the flap of the envelope .,the flap of a sail .,1,2494
life,life,"she 's my love , my life .",he could no longer cope with the complexities of life .,0,2495
bear,bear,i can not bear his constant criticism .,bearing orders .,0,2496
snorter,snorter,"the maths problem is a real snorter , is n't it ?",the problem was a real snorter .,1,2497
queen,queen,the queen of ocean liners .,paris is the queen of cities .,1,2498
point,point,it 's rude to point at other people .,the dancers toes pointed outward .,0,2499
pull,pull,the pull of the moon .,iron fillings drawn by the pull of a magnet .,1,2500
try,try,"if you want to play varsity , you 'll have to try out for the team .",this approach has been tried with good results .,1,2501
wash,wash,"the car is so dirty , we need to wash it .",the nurse washed away the blood .,1,2502
hand,hand,give him a hand .,her hands are really strong .,0,2503
play,play,play cards .,play games .,1,2504
catch,catch,the fashion did not catch .,he caught the allusion in her glance .,0,2505
give,give,can i give you the children for the weekend ?,give a yelp .,0,2506
line,line,he 's not in my line of business .,historians can only point out those lines for which evidence is available .,0,2507
hit,hit,the ball hit the fence .,we hit detroit by noon .,0,2508
cover,cover,there 's a $ 15 cover tonight .,artillery provided cover fire for the withdrawal .,0,2509
check,check,place a check by the things you have done .,put a check mark in the box corresponding to the correct answer .,1,2510
range,range,estimates for the losses in the earthquake range as high as $ 2 billion .,the instruments ranged from tuba to cymbals .,1,2511
unit,unit,an idea is not a unit that can be moved from one brain to another .,he was a member of a special police unit .,0,2512
turn,turn,turn the car around .,turn your face to the wall .,1,2513
head,head,the head of the page .,the head of the stairs .,1,2514
difference,difference,it just wo n't make much of a difference to anyone .,his support made a real difference .,1,2515
charge,charge,charge the wagon with hay .,the teacher charged the children to memorize the poem .,0,2516
stick,stick,stick some feathers in the turkey before you serve it .,stick around and you will learn something !,0,2517
life,life,he could no longer cope with the complexities of life .,he lived a long and happy life .,0,2518
lie,lie,do n't lie to your parents .,he lies in his coffin .,0,2519
fall,fall,fall into a strange way of thinking .,they fell out of favor .,1,2520
give,give,i 'll give you three books for four cds .,give thought to .,0,2521
normalize,normalize,normalize the spelling .,normalize the temperature .,1,2522
ball,ball,the ball rolled into the corner pocket .,the ball travelled 90 mph on his serve .,1,2523
hold,hold,to hold true .,the weather held .,1,2524
congregation,congregation,a great congregation of birds flew over .,a congregation of children pleaded for his autograph .,1,2525
language,language,the language introduced is standard throughout the text .,the gift of language .,1,2526
part,part,the rear part of the house .,glue the two parts together .,1,2527
finish,finish,the car 's finish was so shiny and new .,"almost an inspiration which gives to all work that finish which is almost art ""-- joseph conrad .",0,2528
come,come,your wish will come true .,"the bill came to $ 2,000 .",0,2529
draw,draw,draw the curtains .,draw a conclusion .,0,2530
have,have,i have two sisters .,have another bowl of chicken soup !,0,2531
spill,spill,spill the milk .,the former employee spilled all the details .,0,2532
head,head,12 head of big cattle and 14 head of branded calves .,200 head of cattle and 50 head of horses .,1,2533
level,level,take the elevator and get off at the promenade level .,what level is the office on ?,1,2534
dress,dress,we had to dress quickly .,dress the patient .,1,2535
come,come,come down here !,come with me to the casbah .,1,2536
butt,butt,he deserves a good kick in the butt .,get your butt to the car .,1,2537
keep,keep,keep notes .,keep a diary .,1,2538
give,give,give one 's talents to a good cause .,can you give me lessons ?,0,2539
line,line,a shared line .,a dedicated line .,1,2540
way,way,make way for .,did n't know the way home .,0,2541
admit,admit,to admit evidence in the trial of a cause .,she admitted us here .,1,2542
dwelling,dwelling,the old house served as a dwelling for albert .,i was doing dwelling in the cave .,1,2543
word,word,i give you my word that i will be there on time .,he gave his word .,1,2544
spring,spring,i spent my spring holidays in morocco .,he will hold office until the spring of next year .,1,2545
wall,wall,the south wall had a small window .,we 're adding another wall in this room during the remodeling .,1,2546
place,place,a political system with no place for the less prominent groups .,a place in my heart .,1,2547
focus,focus,please focus the image .,you 'll need to focus the microscope carefully in order to capture the full detail of this surface .,1,2548
save,save,let 's save the packaging in case we need to send the product back .,this will save money .,0,2549
strike,strike,strike coins .,the workers struck for a week before the new contract went through .,0,2550
liver,liver,a high liver .,i 'd like some goose liver pate .,0,2551
sign,sign,their angry expressions were a clear sign they did n't want to talk .,those clouds show little sign of raining soon .,1,2552
set,set,to set glass in a sash .,to set a precious stone in a border of metal .,1,2553
keep,keep,keep my job for me while i give birth .,the students keep me on my toes .,0,2554
give,give,give an excuse .,what will you give her for her birthday ?,0,2555
third,third,a distant third .,"he answered the first question willingly , the second reluctantly , and the third with resentment .",1,2556
thing,thing,to say the same thing in other terms .,she has a thing about him .,0,2557
profile,profile,a psychological profile of serial killers .,a biochemical profile of blood .,1,2558
give,give,give the orders .,i gave my coat to the beggar .,0,2559
grave,grave,from cradle to grave .,he went to his grave without forgiving me .,1,2560
get,get,the operator could n't get kobe because of the earthquake .,let 's get down to work now .,0,2561
count,count,i can count my colleagues in the opposition .,each answer counts as three points .,0,2562
command,command,general smith was placed in command .,a good command of french .,0,2563
game,game,he thought of his painting as a game that filled his empty time .,his life was all fun and games .,1,2564
head,head,she gave great head .,they say he gives good head .,1,2565
hit,hit,where am i going to get my next hit ?,after three misses she finally got a hit .,0,2566
rank,rank,his salary was determined by his rank and seniority .,the entrance was guarded by ranks of policemen .,0,2567
remove,remove,remove a case to another court .,doug removed the smudges .,0,2568
plot,plot,the characters were well drawn but the plot was banal .,they concocted a plot to discredit the governor .,0,2569
draw,draw,"at the start of their turn , each player must draw a card .",he spent the day drawing in the garden .,0,2570
soften,soften,this liquid will soften your laundry .,soften the butter before beating in the sugar .,1,2571
strike,strike,the opponent refused to strike .,the teacher struck the child .,1,2572
translate,translate,the renowned director could translate experience to film with ease .,the growth in income translates into greater purchasing power .,0,2573
tact,tact,i used tact when i told my fat uncle that his extra weight made him look better .,"by the use of tact , she was able to calm her jealous husband .",1,2574
drive,drive,you drive nails into wood with a hammer .,we drive the turnpike to work .,0,2575
pay,pay,does she pay you for the work you are doing ?,pay attention .,0,2576
fall,fall,fall prey to an imposter .,fall in love .,1,2577
foil,foil,foil your opponent .,"in this picture , the figures are foiled against the background .",0,2578
raise,raise,to raise somebody to office .,raise the specter of unemployment .,0,2579
raise,raise,we visited a farm where they raise chickens .,to raise somebody to office .,1,2580
face,face,dew dripped from the face of the leaf .,why the sad face ?,0,2581
make,make,how much do you make a month in your new job ?,she made ten points in that game .,1,2582
present,present,that is enough for the present .,he lives in the present with no thought of tomorrow .,1,2583
follow,follow,can you follow her argument ?,follow a pattern .,0,2584
youth,youth,"i made many mistakes in my youth , but learned from them all .","make the most of your youth , it will not last forever .",1,2585
baron,baron,a “ robber baron ” or “ robber knight ” is an historic term and title of disdain .,an oil baron .,1,2586
have,have,have a feeling .,i wo n't have this dog in my house !,0,2587
control,control,under control .,he had lost control of his sphincters .,0,2588
normalize,normalize,there is little hope that the two countries will normalize relations ; their governments seem to hate each other and would just as soon stay on bad terms .,normalize the temperature .,1,2589
window,window,the expanded window will give us time to catch the thieves .,you have a two-hour window of clear weather to finish working on the lawn .,1,2590
normalize,normalize,there is little hope that the two countries will normalize relations ; their governments seem to hate each other and would just as soon stay on bad terms .,normalize the spelling .,1,2591
get,get,get nauseous .,the cat got the goldfish .,0,2592
be,be,i shall be writing to you soon .,she is our resident philosopher .,0,2593
stone,stone,a peach stone .,you should remove the stones from prunes before cooking .,1,2594
song,song,a bird will not learn its song unless it hears it at an early age .,i love hearing the song of canary birds .,1,2595
mean,mean,i mean to go to baddeck this summer .,i only meant to help you .,1,2596
bum,bum,a lazy bum .,that guy keeps interrupting the concert . throw the bum out !,1,2597
address,address,he failed in his manner of address to the captain .,a man of pleasing or insinuating address .,1,2598
rectify,rectify,rectify a curve .,rectify alternating current .,0,2599
score,score,the player with the highest score is the winner .,the winning score came with less than a minute left to play .,1,2600
catch,catch,catch fire .,she caught her son eating candy .,0,2601
make,make,make revolution .,make an effort .,1,2602
turn,turn,turn the clay on the wheel .,ivory turns well .,0,2603
charge,charge,to charge high for goods .,will i get charged for this service ?,1,2604
pay,pay,to pay attention .,she had to pay the penalty for speaking out rashly .,0,2605
title,title,the professor did n't like his friends to use his formal title .,he held the title for two years .,0,2606
call,call,we could always call on a friend .,call the outcome of an election .,0,2607
do,do,what does bob do ? — he 's a plumber .,this car does 150 miles per hour .,0,2608
operation,operation,a multinational operation .,it can perform millions of operations per second .,0,2609
have,have,i have two sisters .,the dog down the street has a lax owner .,1,2610
answer,answer,answer the telephone .,answer the door .,1,2611
head,head,a head of cauliflower .,a head of lettuce .,1,2612
raise,raise,to raise sandy hook light .,raise your hands .,1,2613
compare,compare,this car does not compare with our line of mercedes .,you ca n't compare my problems and yours .,0,2614
life,life,while there 's life there 's hope .,i have known him all his life .,0,2615
orbit,orbit,the moon 's orbit around the earth takes nearly one month to complete .,he plotted the orbit of the moon .,1,2616
authority,authority,respect my authority !,"i have the authority to penalise the staff in my department , but not the authority to sack them .",1,2617
neighborhood,neighborhood,my neighborhood voted for bush .,the price is in the neighborhood of $ 100 .,0,2618
cut,cut,everyone got a cut of the earnings .,the lawyer took a cut of the profits .,1,2619
dress,dress,can the child dress by herself ?,marlene dressed the baby .,1,2620
lift,lift,you never lift a finger to help me !,lift an embargo .,0,2621
play,play,play safe .,play fair .,1,2622
corner,corner,the chimney corner was full of cobwebs .,a piano was in one corner of the room .,0,2623
gather,gather,i gather from aunty may that you had a good day at the match .,i gather you have not done your homework .,1,2624
land,land,he made it the law of the land .,there 's no work on the land any more .,0,2625
extend,extend,extend the loan .,the war extended over five years .,0,2626
charge,charge,i need to charge my car battery .,he came charging into my office .,0,2627
sum,sum,he borrowed a large sum .,a tidy sum .,1,2628
lap,lap,his lap was covered with food stains .,the job fell right in my lap .,0,2629
time,time,time stops for nobody .,the time of year for planting .,0,2630
turn,turn,"in vermont , the leaves turn early .",ivory turns well .,0,2631
begin,begin,this economic measure does n't even begin to deal with the problem of inflation .,the first tourists began to arrive in cambodia .,0,2632
picture,picture,the very picture of a modern general .,the political picture is favorable .,0,2633
see,see,i want to see results .,you 'll see a lot of cheating in this school .,1,2634
get,get,what did you get at the toy store ?,she did n't get his name when they met the first time .,0,2635
degree,degree,murder in the second degree .,there are 360 degrees in a circle .,0,2636
ground,ground,he dropped the logs on the ground .,they gained ground step by step .,0,2637
pack,pack,you had better pack your swollen ankle with ice .,pack the books into the boxes .,0,2638
raise,raise,raise hell .,raise cain .,1,2639
now,now,it worked up to right now .,there is no better time than now .,1,2640
life,life,"having experienced both , the vampire decided that he preferred (un)death to life .",life depends on many chemical and physical processes .,1,2641
define,define,the camera could define the smallest object .,the tree was clearly defined by the light .,1,2642
education,education,he received no formal education .,a good teacher is essential for a good education .,1,2643
heat,heat,heat the water on the stove .,the sun heats the oceans .,1,2644
rock,rock,"while we 're in brighton , let 's get a stick of rock !",he threw a rock at me .,0,2645
calendar,calendar,the club has a busy calendar this year .,i have you on my calendar for next monday .,1,2646
sampler,sampler,a candy sampler .,a sampler of french poets .,1,2647
go,go,these ugly billboards have to go !,these luxuries all had to go under the khmer rouge .,1,2648
purchase,purchase,$ 50 wo n't even purchase a dress .,the family purchased a new car .,1,2649
lift,lift,he gave me a lift to the bus station .,he gave me a lift home .,1,2650
stabilization,stabilization,stabilization means that the product can be handled under atmospheric conditions .,he worked for price stabilization for farm products .,1,2651
heart,heart,you have n't got the heart for baseball .,hearts were trumps .,0,2652
make,make,"make love , not war .",make revolution .,1,2653
play,play,we saw a two-act play in the theatre .,he wrote several plays but only one was produced on broadway .,1,2654
draw,draw,draw a wagon .,a ship 's sail is said to draw when it is filled with wind .,1,2655
house,house,he has a house on cape cod .,this is my house and my family 's ancestral home .,1,2656
bar,bar,it was an excellent kick but the ball hit the bar .,the orchestra omitted the last twelve bars of the song .,0,2657
raise,raise,raise my salary .,raise the question of promotions .,0,2658
disturbance,disturbance,he looked around for the source of the disturbance .,there was a disturbance of neural function .,1,2659
kill,kill,kill the engine .,these new shoes are killing me !,0,2660
keep,keep,the family 's fortune waned and they could not keep their household staff .,our grant has run out and we can not keep you on .,1,2661
dress,dress,we had to dress quickly .,can the child dress by herself ?,1,2662
run,run,do n't run that software unless you have permission . ' .,run the dishwasher .,1,2663
dresser,dresser,she 's an elegant dresser .,he 's a very snappy dresser .,1,2664
think,think,just think -- you could be rich one day !,think what a scene it must have been !,1,2665
air,air,an air of mystery .,the house had a neglected air .,1,2666
offset,offset,to offset one charge against another .,offset deposits and withdrawals .,1,2667
suit,suit,they buried him in his best suit .,"be sure to keep your nose to the grindstone today ; the suits are making a "" surprise "" visit to this department .",1,2668
matter,matter,physicists study both the nature of matter and the forces which govern it .,he always took some reading matter with him on the plane .,0,2669
back,back,the horse refuses to back .,the wind backed .,1,2670
dozen,dozen,"can i have a dozen eggs , please ?",i ordered two dozen doughnuts .,1,2671
movement,movement,he had a bowel movement .,it was an expensive watch with a diamond movement .,0,2672
impute,impute,people impute great cleverness to cats .,we imputed this quotation to shakespeare .,1,2673
canvas,canvas,the movie demanded a dramatic canvas of sound .,the crowded canvas of history .,1,2674
analyze,analyze,analyze a chemical compound .,analyze a specimen .,1,2675
freeze,freeze,do n't go outside wearing just a t-shirt ; you 'll freeze !,freeze the leftover food .,0,2676
replace,replace,the insurance will replace the lost income .,we need to replace the secretary that left a month ago .,1,2677
competition,competition,the newspaper is featuring a competition to win a car .,the new stain remover was ten times more effective than the competition .,0,2678
union,union,lightning produced an unusual union of the metals .,let c be the union of the sets a and b .,0,2679
mouth,mouth,the jar had a wide mouth .,they built a fire at the mouth of the cave .,0,2680
strike,strike,the opponent refused to strike .,"in the fifth inning , the giants struck , sending three runners home to win the game 5 to 2 .",0,2681
number,number,she preferred the black nylon number .,this sweater is an all-wool number .,1,2682
double,double,his first job in hollywood was as a double for clark gable .,he hit a double to deep centerfield .,0,2683
war,war,"the "" war on terror "" is a campaign against terrorist crime .","the "" war on drugs "" is a campaign against the use of narcotic drugs .",1,2684
drink,drink,the patient must drink several liters each day .,he drank out of the goblet .,1,2685
bear,bear,bear news .,bear a heavy load .,1,2686
shift,shift,shift the emphasis .,shift one 's attention .,1,2687
love,love,a mother 's love is not easily shaken .,the theater was her first love .,0,2688
class,class,the class of all sets is not a set .,there are two classes of detergents .,1,2689
truth,truth,the truth is that he did n't want to do it .,at last he knew the truth .,1,2690
stage,stage,it set the stage for peaceful negotiations .,he clambered up onto the stage and got the actors to help him into the box .,0,2691
field,field,he was an expert in the field of chinese history .,"the farmer 's field was a civil war battleground , and relics such a minnie bullets were frequently found while plowing .",0,2692
deal,deal,deal a blow to someone .,i can deal with this crew of workers .,0,2693
piece,piece,he sacrificed a piece to get a strategic advantage .,he needed a piece of granite .,0,2694
drive,drive,drive a car or bus .,she drives for the taxi company in newark .,0,2695
fire,fire,we sat around the fire singing songs and telling stories .,fire was one of our ancestors ' first discoveries .,1,2696
get,get,you need to get permission to leave early .,i got a computer from my parents for my birthday .,1,2697
tolerate,tolerate,"i like the way he plays the guitar , but i ca n't tolerate his voice when he sings .",the patient does not tolerate the anti-inflammatory drugs we gave him .,0,2698
negociate,negociate,negociate securities .,the pianist negociated the difficult runs .,0,2699
period,period,a time period of 30 years .,hastened the period of time of his recovery .,1,2700
charge,charge,charge the wagon with hay .,will i get charged for this service ?,0,2701
pain,pain,your mother is a right pain .,that kid is a terrible pain .,1,2702
time,time,it is time to go .,these times were erroneously converted between zones .,1,2703
call,call,the salesman 's call on a customer .,that sound is the distinctive call of the cuckoo bird .,0,2704
narrowness,narrowness,the attraction of the book is precisely its narrowness of focus .,the problem with achievement tests is the narrowness they impose on students .,1,2705
finish,finish,the boat had a metallic finish .,he applied a coat of a clear finish .,1,2706
member,member,canada is a member of the united nations .,members of the opposite sex .,0,2707
turn,turn,turn on the spot .,turn the dial to 10 .,0,2708
day,day,she called it a day and went to bed .,it was a busy day on the stock exchange .,1,2709
pay,pay,she had to pay the penalty for speaking out rashly .,you 'll pay for this opinion later .,1,2710
pulp,pulp,pulp fruit .,pulp wood .,1,2711
drop,drop,a drop of each sample was analyzed .,there was a drop in pressure in the pulmonary artery .,0,2712
apology,apology,"the ceo made a public apology for the scandal , and promised full cooperation with the authorities .","what he said really hurt my feelings , but his apology sounded so sincere that i could n't help but forgive him .",1,2713
way,way,a lonely way of life .,make way for .,0,2714
entreaty,entreaty,we need an entreaty to stop the hostilities .,an entreaty to stop the fighting .,1,2715
keep,keep,i keep my specimens under glass to protect them .,keep on working !,1,2716
noise,noise,whatever it was he did n't like it and he was going to let them know by making as loud a noise as he could .,the announcement of the election recount caused a lot of noise .,1,2717
time,time,the judge leniently granted a sentence with no hard time .,he had a time holding back the tears .,0,2718
roughcast,roughcast,roughcast a wall .,to roughcast a wall or building .,1,2719
air,air,open a window and let in some air .,a smell of chemicals in the air .,1,2720
stuff,stuff,what is all that stuff on your bedroom floor ?,he did n't want his pockets to bulge so he was walking around with all his stuff in his hands .,1,2721
work,work,do you want to work after the age of 60 ?,she works as a waitress to put herself through college .,1,2722
admit,admit,we can not admit non-members into our club building .,a ticket admits one into a playhouse .,1,2723
shock,shock,loss of blood is an important cause of shock .,electricians get accustomed to occasional shocks .,0,2724
prise,prise,"2004 : most people used pliers , scissors , rubber gloves and knives to try to prise open products . — bbc news .","1919 : i think he must have been trying to prise open that box yonder when he was attacked . — sax rohmer , the quest of the sacred slipper .",1,2725
drag,drag,peeling potatoes is a drag .,he went to the party dressed in drag .,0,2726
air,air,she was humming an air from beethoven .,her hand stopped in mid air .,0,2727
hit,hit,the ball hit the fence .,the movie hits theaters in december .,0,2728
discover,discover,"the story is false , so far as i can discover .",i discovered what he should do .,1,2729
hit,hit,hit a ball .,he hit a home run .,0,2730
tip,tip,remember to tip the waiter .,tip the screen upward .,0,2731
break,break,i had to break a $ 100 bill just to buy the candy .,the wholesaler broke the container loads into palettes and boxes for local retailers .,1,2732
dwelling,dwelling,philip 's dwelling fronted on the street . - alfred tennyson .,i was doing dwelling in the cave .,1,2733
third,third,he is playing third .,now put it into third .,0,2734
act,act,the governor should act on the new energy bill .,think before you act .,1,2735
ride,ride,do n't ride me so hard over my failure .,let it ride .,0,2736
luck,luck,it was my good luck to be there .,they say luck is a lady .,1,2737
corner,corner,a piano was in one corner of the room .,the corners of the wire mesh were reinforced with little blobs of solder .,0,2738
difference,difference,it just wo n't make much difference to me .,there were irreconcilable differences .,0,2739
deal,deal,i believe it 's your deal .,i did n't have a good deal all evening .,1,2740
shoot,shoot,shoot a goal .,in my round of golf yesterday i shot a 76 .,1,2741
get,get,she did n't get his name when they met the first time .,the ice storm got my hibiscus .,0,2742
integrity,integrity,the integrity of the nervous system is required for normal development .,they admired his scrupulous professional integrity .,0,2743
break,break,did you two break the trolley by racing with it ?,the bus we travelled in broke down on the way to town .,1,2744
fall,fall,fall prey to an imposter .,her hair fell across her forehead .,0,2745
advance,advance,to advance one 's interests .,we are advancing technology every day .,0,2746
part,part,the written part of the exam .,"please turn to part i , chapter 2 .",1,2747
follow,follow,follow the trail .,follow a pattern .,0,2748
dress,dress,dress the patient .,he was dressed in the latest fashions .,1,2749
place,place,he lost his place on the page .,a political system with no place for the less prominent groups .,0,2750
subscription,subscription,my library subscription is about to expire .,the deed was attested by the subscription of his signature .,0,2751
vote,vote,they are expecting a large vote .,"the supreme court upheld the principle of one person , one vote .",0,2752
strengthen,strengthen,strengthen the relations between the two countries .,this exercise will strengthen your upper body .,1,2753
pick,pick,pick meat from a bone .,pick up the tab .,0,2754
throw,throw,throw a shoe .,throw a glance .,0,2755
place,place,a place in my heart .,he has a special place in my thoughts .,1,2756
prise,prise,"c. 1925 : come , force the gates with crowbars , prise them apart ! — jack lindsay , translation of lysistrata .","2004 : most people used pliers , scissors , rubber gloves and knives to try to prise open products . — bbc news .",1,2757
come,come,the sleeves come to your knuckles .,come into the room .,0,2758
get,get,what do you get when you add up these numbers ?,get nauseous .,0,2759
use,use,he does n't know how to use a computer .,use this knife to slice the bread .,1,2760
credit,credit,"he arrived five minutes late , but to his credit he did work an extra ten minutes at the end of his shift .",give her credit for trying .,1,2761
figure,figure,he cut a sorry figure standing there in the rain .,he made a figure of santa claus .,0,2762
clear,clear,the check will clear within 2 business days .,the sky cleared after the storm .,0,2763
catch,catch,if you leave now you might catch him .,she really caught the spirit of the place in her drawings .,0,2764
drop,drop,it was a miracle that he survived the drop from that height .,there was a drop in pressure in the pulmonary artery .,0,2765
fix,fix,"fix breakfast for the guests , please .",i was fixing to leave town after i paid the hotel bill .,0,2766
key,key,the key to solving this problem is persistence .,the key to development is economic integration .,1,2767
series,series,the harmonic series has been much studied .,they were investigating a series of bank robberies .,0,2768
property,property,charm is his most endearing property .,a study of the physical properties of atomic particles .,1,2769
sign,sign,those clouds show little sign of raining soon .,they welcomed the signs of spring .,1,2770
line,line,a dedicated line .,i ca n't follow your line of reasoning .,0,2771
come,come,come into contact with a terrorist group .,winter comes after autumn .,1,2772
go,go,how fast does your new car go ?,these luxuries all had to go under the khmer rouge .,0,2773
top,top,only the top side of the box was painted .,he stared as she buttoned her top .,0,2774
admit,admit,we can not admit non-members into our club building .,to admit a serious thought into the mind .,1,2775
break,break,break a promise .,break a law .,1,2776
death,death,england scored a goal at the death to even the score at one all .,it was the death of all his plans .,0,2777
art,art,how great thou art !,it 's quite an art .,1,2778
operation,operation,they paid taxes on every stage of the operation .,a large-scale farming operation .,1,2779
catch,catch,she managed to catch herself before telling her boss what was on her mind .,he caught the allusion in her glance .,0,2780
yes,yes,i was hoping for a yes .,was that a yes ?,1,2781
mark,mark,the citizens mark the anniversary of the revolution with a march and a parade .,this sign marks the border .,0,2782
bank,bank,he operated a bank of switches .,a huge bank of earth .,0,2783
attack,attack,this species of snake will only attack humans if it feels threatened .,"hitler attacked poland on september 1 , 1939 and started world war ii .",1,2784
formation,formation,the formation of crystals .,the formation of gas in the intestine .,1,2785
curmudgeon,curmudgeon,there 's a cranky curmudgeon working at the hospital who gives all the patients and other doctors flak .,john doe 's old age and stubborn aversion to new ideas make him a curmudgeon of a candidate .,1,2786
stage,stage,then we embarked on the second stage of our caribbean cruise .,we went out of town together by stage about ten or twelve miles .,0,2787
weakness,weakness,"in a small number of horses , muscle weakness may progress to paralysis .",the weakness of the span was overlooked until it collapsed .,0,2788
audit,audit,"to audit the accounts of a treasure , or of parties who have a suit depending in court .",audit accounts and tax returns .,1,2789
scratch,scratch,scratch that remark .,do n't scratch your insect bites !,0,2790
copy,copy,she made a copy of the designer dress .,please bring me the copies of those reports .,1,2791
rest,rest,"now that we 're all in agreement , we can put that issue to rest .",the ocean was finally at rest .,1,2792
roam,roam,the cattle roam across the prairie .,the gypsies roamed the woods .,1,2793
uncork,uncork,uncork the french wine .,uncork a bottle of wine .,1,2794
turn,turn,turn the legs of the table .,turn a somersault .,0,2795
locate,locate,our sense of sight enables us to locate objects in space .,locate the boundaries of the property .,1,2796
read,read,she read the sky and predicted rain .,i ca n't read his strange behavior .,1,2797
nick,nick,he 's just been released from shadwell nick prison after doing ten years for attempted murder .,he was arrested and taken down to sun hill nick police station to be charged .,1,2798
question,question,the question of disease merits serious discussion .,there was a question of which material to use .,1,2799
point,point,to fall off a point .,they sailed south around the point .,0,2800
raise,raise,raise from the dead .,raise a protest .,0,2801
pull,pull,you 'll be sent home if you pull another stunt like that .,"he regularly pulls 12-hour days , sometimes 14 .",1,2802
cut,cut,cut the songs .,she cut all of her major titles again .,1,2803
note,note,"i did n't have any coins to pay with , so i used a note .",he detected a note of sarcasm .,0,2804
stretch,stretch,cats stretch with equal ease and agility beyond the point that breaks a man on the rack .,i stretched the rubber band until it almost broke .,0,2805
play,play,play football .,pele played for the brazilian teams in many important matches .,1,2806
nomination,nomination,his nomination was hotly protested .,there was keen competition for the nomination .,1,2807
sex,sex,all you ever think about is sex .,they had sex in the back seat .,1,2808
hyponym,hyponym,dog is a hyponym of animal .,"a is a hyponym of b means that "" a is a type of b. "" .",1,2809
dresser,dresser,he 's a meticulous dresser .,she 's an elegant dresser .,1,2810
unemployment,unemployment,unemployment is a serious social evil .,the rate of unemployment is an indicator of the health of an economy .,1,2811
accent,accent,the name cézanne is written with an acute accent .,the room was decorated in shades of grey with distinctive red accents .,0,2812
create,create,you can create the color orange by mixing yellow and red .,he created a new movement in painting .,1,2813
do,do,will $ 100 do ?,we did 6 miles on our hike every day .,0,2814
place,place,he put the lamp back in its place .,a place in my heart .,0,2815
quality,quality,membership of this golf club is limited to those of quality and wealth .,this school is well-known for having teachers of high quality .,0,2816
keep,keep,keep your cool .,he keeps bees .,0,2817
fall,fall,fall prey to an imposter .,they fell out of favor .,1,2818
image,image,the number 6 is the image of 3 under f that is defined as f(x ) = 2*x .,the image of f(x) = x^2 is the set of all non - negative real numbers if the domain of the function is the set of all real numbers .,1,2819
point,point,he stuck the point of the knife into a tree .,a row of points .,0,2820
third,third,jones came in third .,a distant third .,1,2821
path,path,"the path of a meteor , of a caravan , or of a storm .",genius usually follows a revolutionary path .,0,2822
spell,spell,"the letters “ a ” , “ n ” and “ d ” spell “ and ” .",i 'm afraid this spells trouble !,0,2823
room,room,the whole room was cheering .,the room was on its feet .,1,2824
stay,stay,a four-month stay in bankruptcy court .,a lengthy hospital stay .,1,2825
shtik,shtik,he played a shtik beethoven .,play it straight with no shtik .,0,2826
floor,floor,the floor of the pelvis .,he is a floor trader .,0,2827
order,order,ibm received an order for a hundred computers .,the machine is now in working order .,0,2828
reaction,reaction,"in this reaction , the acid and base will neutralize each other , producing a salt .",the announcement of the verdict brought a violent reaction .,0,2829
