,sentence1,sentence2,label,hypothesis_graph_structure
7622,"In tortoises and turtles, the ribs are fused to a rigid shell.",Most turtle bodies are covered by a special bony or cartilaginous shell developed from their ribs.,1,Most turtle bodies<>are covered<>by a special bony or cartilaginous shell$$$a special bony or cartilaginous shell<>developed<>from their ribs
7623,The ability of MR to detect the presence and undesirable thermal increases at acoustic obstacle such as cartilaginous and bony ribs is demonstrated.,Most turtle bodies are covered by a special bony or cartilaginous shell developed from their ribs.,0,Most turtle bodies<>are covered<>by a special bony or cartilaginous shell$$$a special bony or cartilaginous shell<>developed<>from their ribs
7624,"The bony covering, often fused to the ribs, on the upper and lower surfaces of the body of a turtle.",Most turtle bodies are covered by a special bony or cartilaginous shell developed from their ribs.,1,Most turtle bodies<>are covered<>by a special bony or cartilaginous shell$$$a special bony or cartilaginous shell<>developed<>from their ribs
7625,"There is a slightly increased ( For large saddle defects involving bony and cartilaginous dorsum, rib cartilage makes excellent graft material.",Most turtle bodies are covered by a special bony or cartilaginous shell developed from their ribs.,0,Most turtle bodies<>are covered<>by a special bony or cartilaginous shell$$$a special bony or cartilaginous shell<>developed<>from their ribs
7626,They have a special bony or cartilaginous shell developed from their ribs that acts as a shield.,Most turtle bodies are covered by a special bony or cartilaginous shell developed from their ribs.,1,Most turtle bodies<>are covered<>by a special bony or cartilaginous shell$$$a special bony or cartilaginous shell<>developed<>from their ribs
7627,Turtles are reptiles of the order Chelonii or Testudines characterised by a special bony or cartilaginous shell developed from their ribs and acting as a shield.,Most turtle bodies are covered by a special bony or cartilaginous shell developed from their ribs.,1,Most turtle bodies<>are covered<>by a special bony or cartilaginous shell$$$a special bony or cartilaginous shell<>developed<>from their ribs
7628,"includes fundamentals of rock mechanics and applications of stress and strain theory to the origin of structures, tectonics of mountain-building, and global plate tectonics.",Mountain building and earthquakes are some of the responses of rocks when subected to stress.,1,Mountain building and earthquakes<>are<>some of the responses of rocks<>when subected to stress
7629,Most of this energy is in the form of the kinetic energy of the emitted electron.,Moving electrons have a form of kinetic energy called electrical energy.,0,Moving electrons<>have<>a form of kinetic energy$$$kinetic energy<>called<>electrical energy
7630,"This mechanical energy is then converted into electrical energy, that is, the kinetic energy of electrons moving through wires, by electric generators.",Moving electrons have a form of kinetic energy called electrical energy.,1,Moving electrons<>have<>a form of kinetic energy$$$kinetic energy<>called<>electrical energy
7631,STRENGTH TRAINING Loss of muscle mass (sarcopenia) with age in humans is well documented.,Muscle atrophy due to age is called sarcopenia.,1,Muscle atrophy due to age<>is called<>sarcopenia
7632,Sarcopenia and Mitochondrial Function in Aging (submitted for funding;,Muscle atrophy due to age is called sarcopenia.,0,Muscle atrophy due to age<>is called<>sarcopenia
7633,Sarcopenia means loss of muscle mass.,Muscle atrophy due to age is called sarcopenia.,1,Muscle atrophy due to age<>is called<>sarcopenia
7634,"Sarcopenia, the age-related loss of muscle, is a key factor of the central problem.",Muscle atrophy due to age is called sarcopenia.,1,Muscle atrophy due to age<>is called<>sarcopenia
7635,"Sarcopenia, the loss in muscle mass, related to aging, starts at age 25.",Muscle atrophy due to age is called sarcopenia.,1,Muscle atrophy due to age<>is called<>sarcopenia
7636,"Different muscles are not represented equally in the motor cortex, as seen in. 2.",Muscle groups are controlled by the motor cortex .,0,Muscle groups<>are controlled<>by the motor cortex
7637,"Genetic activity in the cerebral cortex, which is involved in thought processes, and the cerebellum, which is involved in muscle and motor skill coordination, were studied in both groups of mice.",Muscle groups are controlled by the motor cortex .,0,Muscle groups<>are controlled<>by the motor cortex
7638,"However, I think that teaching muscle mechanics with (human) motor behaviour and motor control in mind will make the topics more interesting.",Muscle groups are controlled by the motor cortex .,0,Muscle groups<>are controlled<>by the motor cortex
7639,"Skeleton, Muscle, and Motor Control.",Muscle groups are controlled by the motor cortex .,0,Muscle groups<>are controlled<>by the motor cortex
7640,Specific neuron to specific muscle Spatially represent body in primary motor cortex.,Muscle groups are controlled by the motor cortex .,0,Muscle groups<>are controlled<>by the motor cortex
7641,"The heart is a muscle, but it is not controlled by motor neurons.",Muscle groups are controlled by the motor cortex .,0,Muscle groups<>are controlled<>by the motor cortex
7642,The motor control area of the Cortex is the first to be Myelinated.,Muscle groups are controlled by the motor cortex .,0,Muscle groups<>are controlled<>by the motor cortex
7643,The motor cortex within the cerebral cortex of the brain is known to control voluntary respiration because the motor cortex controls voluntary muscle movement.,Muscle groups are controlled by the motor cortex .,1,Muscle groups<>are controlled<>by the motor cortex
7644,"There is no danger of confusing heart and lungs, or nerves and muscles, or the visual cortex with the motor cortex, or a school with a garage, and so on.",Muscle groups are controlled by the motor cortex .,0,Muscle groups<>are controlled<>by the motor cortex
7645,"Upon the performance of simple finger motor tasks, subjects with CBD experienced lower levels of activity in the parietal cortex, sensorimotor cortex, and supplementary motor cortex than those individuals tested in a control group.",Muscle groups are controlled by the motor cortex .,0,Muscle groups<>are controlled<>by the motor cortex
7646,"muscle physiology, neural mechanisms, including motor control;",Muscle groups are controlled by the motor cortex .,0,Muscle groups<>are controlled<>by the motor cortex
7647,muscles and motor mechanisms;,Muscle groups are controlled by the motor cortex .,0,Muscle groups<>are controlled<>by the motor cortex
7648,Control of the cell cycle in normal and cancer cells.,Mutations in regulatory genes that normally control the cell cycle cause cancer.,0,regulatory genes<>normally control<>the cell cycle cause cancer
7649,Genes causing cancer found in normal cell.,Mutations in regulatory genes that normally control the cell cycle cause cancer.,0,regulatory genes<>normally control<>the cell cycle cause cancer
7650,Mutations in regulatory genes that normally control  the cell cycle cause cancer.,Mutations in regulatory genes that normally control the cell cycle cause cancer.,1,regulatory genes<>normally control<>the cell cycle cause cancer
7651,Mutations that lead to cancer usually occur in genes that control the cell cycle.,Mutations in regulatory genes that normally control the cell cycle cause cancer.,1,regulatory genes<>normally control<>the cell cycle cause cancer
7652,"Normally, tumor suppressor genes constrain or eliminate these renegade cells, but mutations can disable these genes in cancer cells.",Mutations in regulatory genes that normally control the cell cycle cause cancer.,0,regulatory genes<>normally control<>the cell cycle cause cancer
7653,"Other known cancer genes are simply mutations of normal genes that control cell proferation which effectively take off the brakes, and the cells to divide out of control.",Mutations in regulatory genes that normally control the cell cycle cause cancer.,1,regulatory genes<>normally control<>the cell cycle cause cancer
7654,Researchers have learned that cancer is caused by changes (called mutations or alterations) in genes that control normal cell growth and cell death.,Mutations in regulatory genes that normally control the cell cycle cause cancer.,1,regulatory genes<>normally control<>the cell cycle cause cancer
7655,Some toxins cause cancers without causing gene mutations in the affected cells.,Mutations in regulatory genes that normally control the cell cycle cause cancer.,0,regulatory genes<>normally control<>the cell cycle cause cancer
7656,"These genes may be inactivated as part of the development of epithelial cancers, releasing the mutated cell from normal cellular controls.",Mutations in regulatory genes that normally control the cell cycle cause cancer.,0,regulatory genes<>normally control<>the cell cycle cause cancer
7657,"This can kill cells, cause tumors, and cancers, and mutations in genes.",Mutations in regulatory genes that normally control the cell cycle cause cancer.,0,regulatory genes<>normally control<>the cell cycle cause cancer
7658,A Natural Resources and Biodiversity Bank Chapter 3.,Biodiversity is an important natural resource in and of itself,0,Biodiversity<>is<>an important natural resource in and of itself
7659,"As development continues on Caye Caulker and elsewhere in Belize, it is important to protect the natural resources that contribute to the beauty and biodiversity of the area.",Biodiversity is an important natural resource in and of itself,0,Biodiversity<>is<>an important natural resource in and of itself
7660,Biodiversity and conservation of natural resources.,Biodiversity is an important natural resource in and of itself,0,Biodiversity<>is<>an important natural resource in and of itself
7661,"Guyana's biodiversity is an important natural resource that, if used wisely, can help substantially in the development of this country.",Biodiversity is an important natural resource in and of itself,1,Biodiversity<>is<>an important natural resource in and of itself
7662,"He emphasized the importance of PGRFA as critical components of biodiversity, and the sovereign rights of States over their natural resources.",Biodiversity is an important natural resource in and of itself,0,Biodiversity<>is<>an important natural resource in and of itself
7663,Macro-policies of a social nature are extremely important in providing the human resources needed to implement Biodiversity Prospecting Frameworks.,Biodiversity is an important natural resource in and of itself,0,Biodiversity<>is<>an important natural resource in and of itself
7664,Protection of biodiversity and natural resources.,Biodiversity is an important natural resource in and of itself,0,Biodiversity<>is<>an important natural resource in and of itself
7665,"Sections on biodiversity, resources and references and scientific names are included.",Biodiversity is an important natural resource in and of itself,0,Biodiversity<>is<>an important natural resource in and of itself
7666,her research is on the history of concepts of biodiversity and natural resources;,Biodiversity is an important natural resource in and of itself,0,Biodiversity<>is<>an important natural resource in and of itself
7667,5.1.8 Mercury Elemental mercury is a metallic element that is liquid at room temperature.,Mercury is the one metal that melts below room temperature.,1,Mercury<>is<>the one metal that melts below room temperature$$$the one metal<>melts<>below room temperature
7668,Mercury (Hydrargyrum) is the only metal which is liquid at room temperature.,Mercury is the one metal that melts below room temperature.,1,Mercury<>is<>the one metal that melts below room temperature$$$the one metal<>melts<>below room temperature
7669,"Mercury Mercury, symbol Hg, is the only metal that is a liquid at room temperature.",Mercury is the one metal that melts below room temperature.,1,Mercury<>is<>the one metal that melts below room temperature$$$the one metal<>melts<>below room temperature
7670,"Mercury has many industrial uses, as it is the only metal that is a liquid at room temperature.",Mercury is the one metal that melts below room temperature.,1,Mercury<>is<>the one metal that melts below room temperature$$$the one metal<>melts<>below room temperature
7671,"Mercury has relatively weak bonds for a metal and melts at -39  degrees Celsius, so it is a liquid at room temperature.",Mercury is the one metal that melts below room temperature.,1,Mercury<>is<>the one metal that melts below room temperature$$$the one metal<>melts<>below room temperature
7672,Mercury is a heavy metal which exists in a liquid state and evaporates at room temperature.,Mercury is the one metal that melts below room temperature.,1,Mercury<>is<>the one metal that melts below room temperature$$$the one metal<>melts<>below room temperature
7673,Mercury is so poor at forming metallic bonds that it is liquid at room temperature.,Mercury is the one metal that melts below room temperature.,1,Mercury<>is<>the one metal that melts below room temperature$$$the one metal<>melts<>below room temperature
7674,Mercury is the only metal that is in liquid form at room temperature.,Mercury is the one metal that melts below room temperature.,1,Mercury<>is<>the one metal that melts below room temperature$$$the one metal<>melts<>below room temperature
7675,Mercury is the only metallic element that is a liquid at room temperature.,Mercury is the one metal that melts below room temperature.,1,Mercury<>is<>the one metal that melts below room temperature$$$the one metal<>melts<>below room temperature
7676,Mercury is unique in being the only metallic element that is liquid at room temperature.,Mercury is the one metal that melts below room temperature.,1,Mercury<>is<>the one metal that melts below room temperature$$$the one metal<>melts<>below room temperature
7677,"Mercury, a metal with such a low melting point that it's a liquid at room temperature, binds to sulfur atoms in living cells and destroys important enzymes, such as those that control nerve cells.",Mercury is the one metal that melts below room temperature.,1,Mercury<>is<>the one metal that melts below room temperature$$$the one metal<>melts<>below room temperature
7678,"Mercury, for example, is mercury which is a metal but is liquid at room temperature.",Mercury is the one metal that melts below room temperature.,1,Mercury<>is<>the one metal that melts below room temperature$$$the one metal<>melts<>below room temperature
7679,"Metallic bonds are variable in strength, giving rise to metals such as mercury (liquid at room temperature) and tungsten (melts at 3407 degrees Celsius).",Mercury is the one metal that melts below room temperature.,1,Mercury<>is<>the one metal that melts below room temperature$$$the one metal<>melts<>below room temperature
7680,Metallic mercury is a liquid at room temperature.,Mercury is the one metal that melts below room temperature.,1,Mercury<>is<>the one metal that melts below room temperature$$$the one metal<>melts<>below room temperature
7681,"A jellyfish has no respitory, circulatory, or excretionary organs.",A jellyfish does not have a circulatory system.,1,A jellyfish<>does not have<>a circulatory system
7682,Annelids have closed circulatory systems.,A jellyfish does not have a circulatory system.,0,A jellyfish<>does not have<>a circulatory system
7683,Daphnia have open circulatory systems.,A jellyfish does not have a circulatory system.,0,A jellyfish<>does not have<>a circulatory system
7684,Have partially open circulatory system.,A jellyfish does not have a circulatory system.,0,A jellyfish<>does not have<>a circulatory system
7685,Humans have an open circulatory system.,A jellyfish does not have a circulatory system.,0,A jellyfish<>does not have<>a circulatory system
7686,Jellyfish are such a unique kind of marine animal that they actually dont have a specialized circulatory system.,A jellyfish does not have a circulatory system.,1,A jellyfish<>does not have<>a circulatory system
7687,Name parts and give the functions of the circulatory system.,A jellyfish does not have a circulatory system.,0,A jellyfish<>does not have<>a circulatory system
7688,Name the general components of the circulatory system.,A jellyfish does not have a circulatory system.,0,A jellyfish<>does not have<>a circulatory system
7689,Name two types of circulatory systems which occur in the animals we have studied in this section of the course.,A jellyfish does not have a circulatory system.,0,A jellyfish<>does not have<>a circulatory system
7690,"Simple animals consisting of a single cell layer, such as the (a) sponge, or only a few cell layers, such as the (b) jellyfish, do not have a circulatory system.",A jellyfish does not have a circulatory system.,1,A jellyfish<>does not have<>a circulatory system
7691,They all have circulatory systems.,A jellyfish does not have a circulatory system.,0,A jellyfish<>does not have<>a circulatory system
7692,They have a more efficient circulatory system;,A jellyfish does not have a circulatory system.,0,A jellyfish<>does not have<>a circulatory system
7693,They have a very sophisticated circulatory system;,A jellyfish does not have a circulatory system.,0,A jellyfish<>does not have<>a circulatory system
7694,Two basic types of circulatory systems A.,A jellyfish does not have a circulatory system.,0,A jellyfish<>does not have<>a circulatory system
7695,Venoms and poisons of jellyfish and other marine animals can induce damage to the human nervous and circulatory systems.,A jellyfish does not have a circulatory system.,0,A jellyfish<>does not have<>a circulatory system
7696,Vertebrates have a closed circulatory system.,A jellyfish does not have a circulatory system.,0,A jellyfish<>does not have<>a circulatory system
7697,Zebras have a closed circulatory system.,A jellyfish does not have a circulatory system.,0,A jellyfish<>does not have<>a circulatory system
7698,the function of each type of blood vessel in the circulatory system.,A jellyfish does not have a circulatory system.,0,A jellyfish<>does not have<>a circulatory system
7699,6. Use some mothballs,Naphthalens is a chemical which is commonly used in mothballs.,0,Naphthalens<>is<>a chemical which is commonly used in mothballs$$$a chemical<>is commonly used<>in mothballs
7700,"According to current EPA guidelines, naphthalene (the active ingredient in mothballs) is not registered for use as a repellent on skunks, although many people use and continue to recommend it.",Naphthalens is a chemical which is commonly used in mothballs.,1,Naphthalens<>is<>a chemical which is commonly used in mothballs$$$a chemical<>is commonly used<>in mothballs
7701,"Because naphthalene can catch fire easily, modern mothballs use 1,4-dichlorobenzene instead.",Naphthalens is a chemical which is commonly used in mothballs.,0,Naphthalens<>is<>a chemical which is commonly used in mothballs$$$a chemical<>is commonly used<>in mothballs
7702,"Health Effects Naphthalene's characteristic tar or mothball-like odor is a good warning of its presence, but like its odor in a home clothes closet, the odor from coal chemicals processing does not necessarily mean danger.",Naphthalens is a chemical which is commonly used in mothballs.,0,Naphthalens<>is<>a chemical which is commonly used in mothballs$$$a chemical<>is commonly used<>in mothballs
7703,Research Notes Biology Termites use mothballs in their nests Formosan termites are insensitive to the naphthalene that they build into their tunnel walls.,Naphthalens is a chemical which is commonly used in mothballs.,0,Naphthalens<>is<>a chemical which is commonly used in mothballs$$$a chemical<>is commonly used<>in mothballs
7704,"There have been medical reports of babies who developed liver problems after being dressed in clothing that had been stored in naphthalene mothballs The PCRM recommends using other, non-chemical, methods to deal with moth and insect problems.",Naphthalens is a chemical which is commonly used in mothballs.,0,Naphthalens<>is<>a chemical which is commonly used in mothballs$$$a chemical<>is commonly used<>in mothballs
7705,Use some mothballs,Naphthalens is a chemical which is commonly used in mothballs.,0,Naphthalens<>is<>a chemical which is commonly used in mothballs$$$a chemical<>is commonly used<>in mothballs
7706,Your family can be exposed to this chemical if you use mothballs or if someone in your household smokes tobacco.,Naphthalens is a chemical which is commonly used in mothballs.,0,Naphthalens<>is<>a chemical which is commonly used in mothballs$$$a chemical<>is commonly used<>in mothballs
7707,0 million people die prematurely each year as a result of exposure to urban air pollution.,Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7708,5.5 Million Die Early From Air Pollution Worldwide,Nearly five million people die yearly due to air pollution.,1,Nearly five million people<>die yearly<>due to air pollution
7709,Air Pollution and Illness   Almost 5 million people die each year because of air pollution.,Nearly five million people die yearly due to air pollution.,1,Nearly five million people<>die yearly<>due to air pollution
7710,As many as one million people died.,Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7711,"Each year in the U.S., industrial operations emit nearly 100 million tons of pollutants into the air.",Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7712,Every year nearly a million people die of cardiovascular disease.,Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7713,Five million people die every year from the illness.,Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7714,"For instance, in the five years of Zedillo's term, Mexico's population has grown by about 10 million people to nearly 100 million.",Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7715,"Last year alone, nearly five million people enjoyed cruise vacations.",Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7716,More than 2 million people died in the region last year and nearly all the 11 million AIDS orphans live there.,Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7717,Nearly 12 million children under five die every year three million of them before they are even a week old;,Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7718,Nearly 18 million people die every year from communicable diseases.,Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7719,Nearly 2 million people die every year from air and water pollution.,Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7720,"Nearly 22 million people have died of AIDS, with 3 million deaths just last year.",Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7721,Nearly 3 million people die from TB each year.,Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7722,Nearly a million people worldwide die by suicide annually.,Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7723,Nearly five million people see Grand Canyon each year.,Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7724,"Nearly one million people die a year from preventable causes, and many more are disabled by preventable disease and injury.",Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7725,"Nevertheless, more than a billion people still live in absolute poverty, 4 million children died last year from acute respiratory diseases caused by air pollution and another 4 million died from stomach ailments caused by drinking dirty water.",Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7726,"On an average, 5.5 million people are being newly infected, while nearly 3 million are dying of AIDS every year.",Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7727,One million people dies over these five years and a further one million emigrated.,Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7728,The World Health Organization estimates that over five million people die each year from contaminated water diseases (this on top of illnesses from industrial pollutants).,Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7729,Twenty-five million people die.,Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7730,Twenty-five million people in Africa are dying of AIDS.,Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7731,"Two million Chinese die every year of air and water pollution, and I could go on and on and on.",Nearly five million people die yearly due to air pollution.,0,Nearly five million people<>die yearly<>due to air pollution
7732,"About Neon Neon is another colorless, odorless, noble gas that makes up a tiny fraction of the earth's atmosphere.",Neon is an example of noble gas.,1,Neon<>is<>an example of noble gas
7733,Another piece of the puzzle was filled in by information from a NASA satellite which searched for neon a noble gas that has a melting point below that of argon.,Neon is an example of noble gas.,1,Neon<>is<>an example of noble gas
7734,"Arc lamps come in nearly all of the noble gas types, including xenon, krypton, argon, neon, and helium, which all emit spectral lines that are very specific to the gas.",Neon is an example of noble gas.,1,Neon<>is<>an example of noble gas
7735,E is a noble gas,Neon is an example of noble gas.,0,Neon<>is<>an example of noble gas
7736,"For example, a molecular gas dissociates, or separates, gradually into an atomic gas (known as an inert or noble gas) if the thermal energy of some particles exceeds the molecular binding energy.",Neon is an example of noble gas.,0,Neon<>is<>an example of noble gas
7737,Helium is an example of a noble (inert) gas.,Neon is an example of noble gas.,0,Neon<>is<>an example of noble gas
7738,"It also has a high electron affinity, second only to chlorine, and tends to capture an electron to become isoelectronic with the noble gas neon;",Neon is an example of noble gas.,1,Neon<>is<>an example of noble gas
7739,"Ne Chemical element abbreviation for Neon, a noble gas.",Neon is an example of noble gas.,1,Neon<>is<>an example of noble gas
7740,"Neon is a colorless, odorless, and tasteless monatomic gas, belonging to the Group VIIIA elements, called noble gases.",Neon is an example of noble gas.,1,Neon<>is<>an example of noble gas
7741,Neon is the first p-block noble gas.,Neon is an example of noble gas.,1,Neon<>is<>an example of noble gas
7742,"Neon, argon, krypton, and xenon also form clathrate hydrates, where the noble gas is trapped in ice.",Neon is an example of noble gas.,1,Neon<>is<>an example of noble gas
7743,Noble Gas Properties,Neon is an example of noble gas.,0,Neon<>is<>an example of noble gas
7744,Noble gas compound,Neon is an example of noble gas.,0,Neon<>is<>an example of noble gas
7745,"Often, this gas is a noble (or inert) gas (such as Neon, Argon, or Krypton, or a combination of noble gases).",Neon is an example of noble gas.,1,Neon<>is<>an example of noble gas
7746,Oxygen (O 2 ) is an example of a noble gas.,Neon is an example of noble gas.,0,Neon<>is<>an example of noble gas
7747,"The researchers can also alter the atmosphere of the chamber to include inert noble gases like argon or neon, hydrogen, nitrogen or forming gas -- 5 percent hydrogen and 95 percent nitrogen.",Neon is an example of noble gas.,1,Neon<>is<>an example of noble gas
7748,"There is however one hydrate compound of neon, however, due to the fact that it is a noble gas, it is highly unstable.",Neon is an example of noble gas.,1,Neon<>is<>an example of noble gas
7749,"This tube, known as a Phanotron Diode, was filled with a noble gas such as argon, or neon.",Neon is an example of noble gas.,1,Neon<>is<>an example of noble gas
7750,Tomorrow Slugs Chemistry Corner Neon is a Noble gas -- its outer shell of valence electrons is full.,Neon is an example of noble gas.,1,Neon<>is<>an example of noble gas
7751,Xenon is classed as a noble gas (see Noble gas ).,Neon is an example of noble gas.,0,Neon<>is<>an example of noble gas
7752,A neutron star forms when a massive star's iron core collapses and triggers a supernova explosion.,Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7753,"A neutron star is a small, powerful body left behind when a massive star dies in a supernova explosion.",Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7754,"A neutron star is an extremely dense, rapidly rotating star that remains after some supernova explosions.",Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7755,A neutron star is apparently the product of a supernova explosion.,Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7756,A neutron star is the imploded core of a massive star produced by a supernova explosion.,Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7757,A neutron star is what remains after a supernova explosion when the core of material at the center of a star collapses into a dense mass of neutrons.,Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7758,A supernovae explosion is usually associated with the formation of neutron stars.,Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7759,Answer : A neutron star is a dense ball of neutrons that remains at the core of a star after a supernova explosion has destroyed the rest of the star.,Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7760,"Massive stars die in spectacular supernova explosions, leaving behind ultradense neutron stars, which pack the mass of the sun into a ball just 12 miles across.",Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7761,"Neutron Star Neutron stars are the super dense remains of massive stars , and they are often what is left behind after a supernova explosion.",Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7762,Neutron stars and pulsars A neutron star is the rest of the supernova explosion of a massive star.,Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7763,Neutron stars are the remnants of one of the most cataclysmic events in the universe-a supernova explosion.,Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7764,"Pulsars are 'neutron stars', which form in the aftermath of a supernova explosion.",Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7765,"Pulsars are neutron stars, the highly dense, collapsed cores of stars that are thrown out in stellar explosions called supernovas.",Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7766,"Stars much more massive than our sun end their normal lives in violent supernova explosions, leaving behind an extremely dense neutron star.",Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7767,"Supernova remnants leave behind neutron stars or black holes, so SGRs must be related to neutron stars or black holes.",Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7768,Supernova/Neutron Star 4.,Neutron stars are the corpses of left over supernova explosions.,0,Neutron stars<>are<>the corpses of left over supernova explosions
7769,Supernovae and neutron star production.,Neutron stars are the corpses of left over supernova explosions.,0,Neutron stars<>are<>the corpses of left over supernova explosions
7770,Supernovae and neutron stars.,Neutron stars are the corpses of left over supernova explosions.,0,Neutron stars<>are<>the corpses of left over supernova explosions
7771,Supernovae neutron stars and pulsars.,Neutron stars are the corpses of left over supernova explosions.,0,Neutron stars<>are<>the corpses of left over supernova explosions
7772,"The Birth of Neutron Stars Besides the interstellar debris, supernova explosions often leave behind a cinder, the star's dense, collapsed neutron core, which was created by the compression of electrons and protons.",Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7773,The remaining neutron core left after a supernova explosion forms the neutron star.,Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7774,The sources in this category are neutron stars or black holes -the results of a supernova explosion- which orbit a normal star.,Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7775,it provides strong evidence that neutron stars are born in supernovae explosions.,Neutron stars are the corpses of left over supernova explosions.,1,Neutron stars<>are<>the corpses of left over supernova explosions
7776,A part of the brain that controls movement.,"Not surprisingly, controlling flight is the function of the most developed part of a bird's brain.",0,controlling flight<>is<>the function$$$controlling flight<>is the function of<>the most developed part$$$controlling flight<>is the function of the most developed part of<>a bird$$$the function<>of<>the most developed part$$$the function<>of the most developed part of<>a bird$$$the function<>of the most developed part of a bird<>'s brain$$$the most developed part<>of<>a bird$$$the most developed part<>of a bird<>'s brain
7777,A specific part of the brain controls a specific function for a specific part of the body.,"Not surprisingly, controlling flight is the function of the most developed part of a bird's brain.",0,controlling flight<>is<>the function$$$controlling flight<>is the function of<>the most developed part$$$controlling flight<>is the function of the most developed part of<>a bird$$$the function<>of<>the most developed part$$$the function<>of the most developed part of<>a bird$$$the function<>of the most developed part of a bird<>'s brain$$$the most developed part<>of<>a bird$$$the most developed part<>of a bird<>'s brain
7778,"After observing birds in flight, Wilbur developed a key concept that revolutionized the control problem in flight.","Not surprisingly, controlling flight is the function of the most developed part of a bird's brain.",0,controlling flight<>is<>the function$$$controlling flight<>is the function of<>the most developed part$$$controlling flight<>is the function of the most developed part of<>a bird$$$the function<>of<>the most developed part$$$the function<>of the most developed part of<>a bird$$$the function<>of the most developed part of a bird<>'s brain$$$the most developed part<>of<>a bird$$$the most developed part<>of a bird<>'s brain
7779,"As the brain deteriorates, so does its ability to control body parts and functions.","Not surprisingly, controlling flight is the function of the most developed part of a bird's brain.",0,controlling flight<>is<>the function$$$controlling flight<>is the function of<>the most developed part$$$controlling flight<>is the function of the most developed part of<>a bird$$$the function<>of<>the most developed part$$$the function<>of the most developed part of<>a bird$$$the function<>of the most developed part of a bird<>'s brain$$$the most developed part<>of<>a bird$$$the most developed part<>of a bird<>'s brain
